barcode,style,tops_fit,bottoms_fit,sleeve_type,pattern,more_attributes,brand,image_path
47751202050101,casual,,slim-bottoms,,plain,,GERRY WEBER,images\477512_02_61fe7d889747cc00115bbf0a.jpg
50757501030101,feminine,,,puff-sleeve,leaf,,CKS,images\507575_01_battic-lange-jurk.jpg
49979301100501,casual,,straight-fit-bottoms,,plain,,Street One,images\499793_01_63af098a42ec9b0011b199e9.jpg
47949201040101,casual,regular-fit-tops,,straight-sleeve,abstract,,Fabienne Chapot,images\479492_01_Screenshot-2022-05-06-at-15-29-51.png
49664801050101,casual,oversized-tops,,,animals; text-print,,Rabe,images\496648_01_632d978367a5aa0011df6722.jpg
48390602410101,casual,oversized-tops,,straight-sleeve,plain,,Yoek,images\483906_02_Screenshot-2022-06-13-at-10-41-37.png
49775601050101,casual,,,straight-sleeve,chevron,,GERRY WEBER,images\497756_01_63db04145e3dc200116bc2ea.jpg
50868901020101,casual,regular-fit-tops,,straight-sleeve,horizontal-stripes,,Pepe Jeans,images\508689_01_PL702008_0AA_01_MO.jpg
50767001260101,casual,,flare-bottoms,,bleached,,Guess,images\507670_01_W3YA59_D52Q1_MULG_1.jpg
50218401040101,feminine,,,straight-sleeve,floral,,Fabienne Chapot,images\502184_01_6412293fd6973e001114c5af.jpg
50088501030101,casual,,slim-bottoms,,plain,,RAPHAELA by BRAX,images\500885_01_63d858f540790e0010a8974b.jpg
50499001030101,feminine,,,flutter-sleeve,floral,,Scotch & Soda,images\504990_01_63a07a521d61560011c71652.jpg
50670701040101,casual,regular-fit-tops,,straight-sleeve,animal-print; zebra,,Marc Cain Sports,images\506707_01_64d8f626dfbf150011137c46.jpg
48534902050101,casual,,slim-bottoms,,plain,,TONI,images\485349_02_62151c53b692450010955f9e.jpg
50665601040101,business,regular-fit-tops,,straight-sleeve,plain,buttons,Marc Cain,images\506656_01_64985a9d327ecf00107b2e2b.jpg
51126401030101,casual,,,straight-sleeve,shapes,,Liu Jo Sport,images\511264_01_8055130727619---TF3208MA63L22222-I-AO-N-B-5-N.jpg
47879902020101,casual,oversized-tops,,straight-sleeve,harlequin; quilted,buttons,ONLY,images\478799_02_60645c939e431100101563af.jpg
50548101050101,casual,regular-fit-tops,,straight-sleeve,tartan; windowpane,drawstring,Betty Barclay,images\505481_01_646515470e1c660011e0c6e1.jpg
